Word,Age of Acquisition Rating,Familiarity,Concreteness,Imageability,Meaningfulness: Coloradao Norms,Meaningfulness: Pavio Norms,AoA_Count,Familiarity_Count,Concreteness_Count,Imageability_Count,Meaningfulness_Colorado_Count,Meaningfulness_Paivio_Count,AoA_Std,Familiarity_Std,Concreteness_Std,Imageability_Std,Meaningfulness_Colorado_Std,Meaningfulness_Paivio_Std,AoA_Range,Familiarity_Range,Concreteness_Range,Imageability_Range,Meaningfulness_Colorado_Range,Meaningfulness_Paivio_Range,Source_Count,Source_Row_Count,Source_Words,Review_Required,Review_Reasons
a,,632.0,201.0,217.0,260.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,A,no,
aal,,433.0,634.0,552.0,350.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,EEL,no,
aasfresser,,474.0,486.0,501.0,423.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,SCAVENGER,no,
abbildung,,534.0,472.0,526.0,513.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,FIGURE,no,
abend,303.0,630.0,439.0,559.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,EVENING,no,
abendessen,250.0,609.8,550.4,578.0,535.4,,2,5,5,5,5,0,0.0,13.7171,10.2879,9.798,4.4091,,0.0,28,21.0,20.0,9.0,,2,5,DINNER;SUPPER,yes,multiple_english_sources
abendkleid,,515.0,586.0,578.0,487.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,GOWN,no,
abenteurer,406.0,402.0,462.0,497.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,ADVENTURER,no,
aber,,603.0,227.0,206.0,225.0,,0,7,7,7,7,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,7,BUT,no,
aberration,,208.0,330.0,285.0,,264.0,0,1,1,1,0,1,,,,,,,,0,0.0,0.0,,0.0,1,1,ABERRATION,no,
abfall,354.0,577.0,430.0,448.0,489.0,,3,3,3,3,3,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,3,WASTE,no,
abfindung,603.0,354.0,311.0,316.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,SEVERANCE,no,
abgas,429.0,510.0,467.0,520.0,,629.0,4,4,4,4,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,,0.0,1,4,EXHAUST,no,
abgeklärt,,136.0,,225.0,,,0,1,0,1,0,0,,,,,,,,0,,0.0,,,1,1,ABSTRUSE,no,
abgenutzt,,537.0,357.0,457.0,421.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,WORN,no,
abgestanden,,509.0,393.0,412.0,344.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,STALE,no,
abgewickelt,,499.0,,307.0,,,0,4,0,4,0,0,,0.0,,0.0,,,,0,,0.0,,,1,4,SETTLED,no,
abgrund,597.0,285.3333,459.6667,454.0,323.0,593.3333,2,3,3,3,2,3,0.0,10.8423,13.6707,1.4142,0.0,7.5425,0.0,23,29.0,3.0,0.0,16.0,2,3,ABYSS;CHASM,yes,multiple_english_sources
abhilfe,492.0,480.0,368.0,370.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,REMEDY,no,
abkommen,381.0,522.0,342.0,383.0,432.0,,3,3,3,3,3,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,3,DEAL,no,
ablage,333.0,504.0,502.0,528.0,433.0,,2,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,2,DUMP,no,
ablauf,303.0,510.0,591.0,540.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,DRAIN,no,
ableger,586.0,329.0,365.0,335.0,262.0,456.0,1,1,1,1,1,1,,,,,,,0.0,0,0.0,0.0,0.0,0.0,1,1,OFFSHOOT,no,
ablehnen,394.0,518.0,426.0,419.0,437.0,,3,3,3,3,3,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,3,REFUSE,no,
ableitung,611.0,434.0,242.0,267.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,DERIVATION,no,
ablenkung,,509.0,289.0,359.0,,412.0,0,1,1,1,0,1,,,,,,,,0,0.0,0.0,,0.0,1,1,DISTRACTION,no,
abnutzung,,536.0,360.0,328.0,402.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,WEAR,no,
